user_id,date,item
user030,2024-01-15,bread
user030,2024-01-15,butter
user030,2024-01-15,jam
user030,2024-01-15,cream_cheese
user031,2024-01-16,eggs
user031,2024-01-16,bacon
user031,2024-01-16,sausage
user031,2024-01-16,pancake_mix
user032,2024-01-16,milk
user032,2024-01-16,bread
user032,2024-01-16,cheese
user032,2024-01-16,lettuce
user033,2024-01-17,coffee
user033,2024-01-17,milk
user033,2024-01-17,sugar
user033,2024-01-17,cinnamon_rolls
user034,2024-01-17,bread
user034,2024-01-17,eggs
user034,2024-01-17,butter
user034,2024-01-17,syrup
user035,2024-01-18,milk
user035,2024-01-18,cereal
user035,2024-01-18,banana
user035,2024-01-18,almonds
user036,2024-01-18,eggs
user036,2024-01-18,cheese
user036,2024-01-18,spinach
user036,2024-01-18,tomatoes
user037,2024-01-19,milk
user037,2024-01-19,bread
user037,2024-01-19,eggs
user037,2024-01-19,bacon
user038,2024-01-19,coffee
user038,2024-01-19,cream
user038,2024-01-19,sugar
user038,2024-01-19,croissants
user039,2024-01-20,bread
user039,2024-01-20,cheese
user039,2024-01-20,ham
user039,2024-01-20,mayo
user040,2024-01-20,milk
user040,2024-01-20,cereal
user040,2024-01-20,strawberries
user040,2024-01-20,yogurt
user041,2024-01-21,eggs
user041,2024-01-21,bacon
user041,2024-01-21,toast
user041,2024-01-21,orange_juice
user042,2024-01-21,milk
user042,2024-01-21,bread
user042,2024-01-21,butter
user042,2024-01-21,cheese
user043,2024-01-22,coffee
user043,2024-01-22,milk
user043,2024-01-22,sugar
user043,2024-01-22,bagels
user044,2024-01-22,bread
user044,2024-01-22,eggs
user044,2024-01-22,cheese
user044,2024-01-22,peppers
user045,2024-01-23,milk
user045,2024-01-23,cereal
user045,2024-01-23,banana
user045,2024-01-23,raisins
user046,2024-01-23,eggs
user046,2024-01-23,bacon
user046,2024-01-23,sausage
user046,2024-01-23,waffles
user047,2024-01-24,milk
user047,2024-01-24,bread
user047,2024-01-24,eggs
user047,2024-01-24,butter
user048,2024-01-24,coffee
user048,2024-01-24,cream
user048,2024-01-24,sugar
user048,2024-01-24,donuts
user049,2024-01-25,bread
user049,2024-01-25,cheese
user049,2024-01-25,ham
user049,2024-01-25,mustard
user050,2024-01-25,milk
user050,2024-01-25,cereal
user050,2024-01-25,strawberries
user050,2024-01-25,blueberries
